cluster,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
0,0.008468622657807763,0.3637041345219174,0.11740429043528793,0.29207364624922305,0.010549898571414978,0.08843004653092311,0.02424406730155072,0.03732126443617166,0.017861249434320138,0.03994277986138327
1,0.0034740290094162052,0.1574890496965076,0.18408067573367567,0.040611284204798946,0.1302740880784804,0.02909411238950996,0.09708548808815187,0.03634287256711121,0.15986424031109248,0.16168415992125568
2,0.008595415658730102,0.14696716560462827,0.6424685587505444,0.0726977082622856,0.006911873641660412,0.013080742145285458,0.014756323134204215,0.05126888516765394,0.014625601820188601,0.028627725814818997
3,0.005627626892466046,0.0175399733738503,0.06625115699456784,0.021975046034864873,0.019080799067310836,0.0482621582280443,0.010442979628951327,0.7605222640776568,0.034062042849817786,0.016235952852469968
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7318960242386746e-83
5,1.617094802209839e-05,0.9894751707966938,0.0007484072465490101,0.0003555876668186553,0.0013161714787162182,0.000555321341829649,0.0006968303470851482,0.004554596385283995,0.0022817437890014763,0.0
6,1.7843565437263265e-07,0.0006251065794098469,0.0002474413798049541,0.9932449686097896,0.0009652347677523612,0.0009339711332051837,0.0009201832029115287,0.0,0.0030629158914720423,0.0
7,0.7154729899252555,0.1189594870276145,0.036796463176011276,0.025811399526329565,0.019234330093687378,0.009894215243661866,0.009483544553197106,0.013768078427297749,0.024441712944947236,0.02613777908199778
