,PDPN_ratio,PDPN_pValue,PDPN_qValue,PDPN_score,EPCAM_ratio,EPCAM_pValue,EPCAM_qValue,EPCAM_score,SLC12A2_ratio,SLC12A2_pValue,SLC12A2_qValue,SLC12A2_score,CD24_ratio,CD24_pValue,CD24_qValue,CD24_score,FABP4_ratio,FABP4_pValue,FABP4_qValue,FABP4_score,MCAM_ratio,MCAM_pValue,MCAM_qValue,MCAM_score,VWF_ratio,VWF_pValue,VWF_qValue,VWF_score,IL32_ratio,IL32_pValue,IL32_qValue,IL32_score,TGIF1_ratio,TGIF1_pValue,TGIF1_qValue,TGIF1_score,MYL9_ratio,MYL9_pValue,MYL9_qValue,MYL9_score
B,0.017738359201773836,1.0,1.0,1.0,0.0066518847006651885,1.0,1.0,1.0,0.008869179600886918,1.0,1.0,1.0,0.20620842572062084,1.0,1.0,1.0,0.03547671840354767,1.0,1.0,1.0,0.05321507760532151,1.0,1.0,1.0,0.031042128603104215,1.0,1.0,1.0,0.011086474501108648,1.0,1.0,1.0,0.0066518847006651885,1.0,1.0,1.0,0.017738359201773836,1.0,1.0,1.0
E/B/M,0.014084507042253521,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.007042253521126761,1.0,1.0,1.0,0.03755868544600939,1.0,1.0,1.0,0.004694835680751174,1.0,1.0,1.0,0.025821596244131457,1.0,1.0,1.0,0.03051643192488263,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.009389671361502348,1.0,1.0,1.0,0.07981220657276995,1.0,1.0,1.0
Ery,0.04,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.04,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Late-Ery,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.06666666666666667,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
PreDC,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
mono-Myel,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
neutro-Myel,0.04411764705882353,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.014705882352941176,1.0,1.0,1.0,0.029411764705882353,1.0,1.0,1.0,0.029411764705882353,1.0,1.0,1.0,0.029411764705882353,1.0,1.0,1.0,0.029411764705882353,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.07352941176470588,1.0,1.0,1.0
