FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value
ENSMUSG00000026344,Lypd1,5.274823406687767,2.993236942819527,8.343679073269138e-50,0.5746039953486917,-1.7950782809674048,0.0001284870657389982,1.0033157698456947,-0.9260663623710924,0.8671230341331971,0.614478848734408,-1.7619738861960457,8.623939001408407e-07,0.40579765757128,-2.293687299798326,2.5987917626893217e-06,0.6042562172262737,-1.7067744512105762,0.00035884721103835484,0.5597629534809486,-1.886218209813838,9.328407183698909e-07,1.135632595857895,-0.7562408008293555,0.41292309943271,0.727972624688057,-1.3684598202569367,1
ENSMUSG00000045573,Penk,5.499242456546847,2.478801024607921,1.1785934773562104e-28,1.204652235862608,-0.9076441210218373,0.21875957769243834,1.0033157698456947,-1.1473302199690587,0.753343516489372,0.8895466056286062,-1.424714801560113,0.000525532154416264,0.3353466753540439,-2.7899559925097313,3.3891294402288783e-07,2.1363750618521333,-0.014705510314502401,1,0.6442554747610918,-1.899512386041148,1.0200709474421919e-05,0.8342775774039843,-1.4415199192188024,0.0352447448355382,1.3614033500659768,-0.6795572288688219,1
ENSMUSG00000071379,Hpcal1,3.581923182750794,2.091830064354277,1.407899145679357e-26,1.8750235637694148,0.308008948137678,0.7038538332405797,0.8338668842717553,-0.9316561273644819,0.8029876684515401,0.7126024345270752,-1.2574564709142977,0.00028303189512897837,0.2620776538481183,-2.665312546873662,6.3412314148510374e-09,0.612847537850344,-1.417108140342878,0.0015951343338765178,0.9188561689215572,-0.8483146394763255,0.07454362066610207,0.6820139891325347,-1.2495726381658936,0.027493741015638878,0.4443469267576452,-1.8127911902299076,1
ENSMUSG00000040565,Btaf1,1.689973018938811,1.7209449728564132,5.081825313282309e-17,0.31502412025695814,-1.4625617701875615,0.001501561825732199,0.9319688706566677,0.20252500172093968,1,0.5050951793261887,-0.790671654940912,0.05949532385571798,0.2620776538481183,-1.7224101039674395,0.0002664248432870182,0.5154792374442145,-0.7112435689411044,0.19720764745724567,0.6706593876611365,-0.32626290442865447,0.9336061423450983,0.43458565819142914,-0.9621194085352393,0.15045816558983902,0.6145223455158922,-0.4123101145028944,1
ENSMUSG00000068696,Gpr88,1.3094363691777624,1.8093325843675576,1.6370773824152655e-16,0.13609041995100593,-2.2746291860695003,3.213806282155414e-06,0.4592956635293625,-0.4369558666983766,1,0.6739964335594684,0.15746038050482736,1,0.49033883623196334,-0.3526976764877391,0.931114528438183,0.45820376661707957,-0.45645695028802,0.5768424862014176,0.2376352161004027,-1.5063736286272764,0.0003138399734541334,0.06661531986875921,-3.252758275763635,4.845341867635436e-08,0.2836256979304118,-1.1055495460089646,1
ENSMUSG00000037362,Nov,1.8821928138181099,1.7270536981361522,1.9764119707490142e-16,0.1663327354956739,-2.5563957858919797,2.5329677911446337e-08,1.4492338897771146,0.7247592412268627,0.6009010078649945,0.7785543528467367,-0.259357851526685,0.9713440408204744,0.12399372870233555,-2.9619883230854738,1.8781081637999655e-09,0.09450452686477266,-3.345412139218251,2.249504555626928e-11,0.9787050381616585,0.1268176111802315,1,0.4028640773015438,-1.233727014980455,0.04257292054569412,0.311988267723453,-1.5377506982382805,1
ENSMUSG00000026463,Atp2b4,2.0792912836943453,1.6263313723732757,6.870148989769524e-15,0.5670434164625247,-0.9389923781945757,0.09679401610552102,0.8784586962648973,-0.251536226612787,1,0.8702436051448028,-0.29499201863507873,0.894530524567298,0.19726275020826112,-2.4882915292132615,1.5468041135154037e-07,0.3608354662109502,-1.6037814380856765,0.0005065145282942328,1.2550659931821269,0.32667293646170203,0.8045533800888913,0.22205106622919737,-2.3022694409785998,1.2499152469689913e-05,0.3214424576544667,-1.688474426178291,1
ENSMUSG00000030226,Lmo3,1.9729361687611293,1.5756472243162465,6.795226719993295e-14,0.3931501020806838,-1.4367911723729991,0.002058391827040083,0.6688771798971299,-0.6066336283562656,1,0.5002694292052379,-1.1265042592873784,0.0021061829895136926,0.1831725537648139,-2.54347774266499,7.907850677929483e-08,0.28351358059431797,-1.905958351573851,3.4206993289889295e-05,0.8185212999013871,-0.3328645305007143,0.9336061423450983,1.8874340629481776,1.0280442792411324,0.008041357632120593,0.9548731830323864,-0.06898121502164678,1
ENSMUSG00000053819,Camk2d,1.7368082989094016,1.4517224617906466,3.417068889353535e-12,0.9148300452262065,-0.008340587021009704,1,0.8115709782751842,-0.18926119704204755,1,0.5758728477668011,-0.7709222906491611,0.06734937173852856,1.21739297271384,0.4503535838229401,0.4656606022130034,0.3751543339177339,-1.3672823610012577,0.0027778498142580167,0.5351193014409068,-0.8768784233464694,0.061469390118765524,0.19032948533931202,-2.3492089496465267,5.825178254118295e-06,0.311988267723453,-1.55624704185567,1
ENSMUSG00000061718,Ppp1r1b,1.9514699987746085,1.5363053192972216,5.10384778116591e-12,0.3351856639534035,-1.6777679619090409,0.0005855355740404314,0.5796935559108459,-0.82291590727119,1,0.7206453513953266,-0.5502997852072428,0.42011856217932314,0.2874400074463233,-1.8913487122315993,0.0001860664232049065,1.6638524275282702,0.8229158742282806,0.02698811068788189,0.6865017354011633,-0.6206440747172182,0.44020422897578787,0.333076599343796,-1.6627887616203818,0.004353696668493092,0.8036061441361668,-0.3248168633288257,1
